"","title","karyotype"
"GSM1134016","XX_rep1","46XX"
"GSM1134017","XX_rep2","46XX"
"GSM1134018","XX_rep3","46XX"
"GSM1134019","XX_rep4","46XX"
"GSM1134020","XX_rep5","46XX"
"GSM1134021","XX_rep6","46XX"
"GSM1134022","XX_rep7","46XX"
"GSM1134023","XX_rep8","46XX"
"GSM1134024","XX_rep9","46XX"
"GSM1134025","XX_rep10","46XX"
"GSM1134026","Xm_rep1","45Xm"
"GSM1134027","Xm_rep2","45Xm"
"GSM1134028","Xm_rep3","45Xm"
"GSM1134029","Xm_rep4","45Xm"
"GSM1134030","Xm_rep5","45Xm"
"GSM1134031","Xm_rep6","45Xm"
"GSM1134032","Xm_rep7","45Xm"
"GSM1134033","Xm_rep8","45Xm"
"GSM1134034","Xm_rep9","45Xm"
"GSM1134035","Xm_rep10","45Xm"
"GSM1134036","Xm_rep11","45Xm"
"GSM1134037","Xm_rep12","45Xm"
"GSM1134038","Xm_rep13","45Xm"
"GSM1134039","Xm_rep14","45Xm"
"GSM1134040","Xm_rep15","45Xm"
"GSM1134041","Xm_rep16","45Xm"
"GSM1134042","Xp_rep1","45Xp"
"GSM1134043","Xp_rep2","45Xp"
"GSM1134044","Xp_rep3","45Xp"
"GSM1134045","Xp_rep4","45Xp"
"GSM1134046","Xp_rep5","45Xp"
"GSM1134047","Xp_rep6","45Xp"
"GSM1134048","Xp_rep7","45Xp"
"GSM1134049","Xp_rep8","45Xp"
"GSM1134050","Xp_rep9","45Xp"
"GSM1134051","Xp_rep10","45Xp"
